,shelters.NAME,shelters.LONGITUDE,shelters.LATITUDE,shelters.CITY,shelters.ORG_NAME,shelters.ADDRLN1,shelters.PHONES,advocacy,child_care,HIV.AIDS,holiday_assistance,interpreter,personal_goods,non_profit_organization,substance_abuse,youth_services,counseling_services,domestic_violence,health_services,shelter,food_supply,recreational_services,Welfare_to_work,Adults.Education,financial_assistance,transportation,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,shelters.SPA
91,Salvation Army Corps Community Center - East Los Angeles Temple,-118.1856231,34.03712097,Los Angeles,,140 N. Eastman Ave.,Service/Intake (323) 263-7577,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,7
92,Southern California Floating Christian Endeavor Association Inc - Beacon Light Mission,-118.2609871,33.77603197,Wilmington,www.beaconlightmission.org,525 N. Broad Ave.,"FAX (310) 830-3260,  Service/Intake (310) 830-7063",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,8
93,Doors Of Hope,-118.2610312,33.77663807,Wilmington,,529 Broad Ave,"Service/Intake and Administration (310) 518-3667,  FAX (310) 513-6113",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,8
94,South Antelope Valley Emergency Services,-118.1114602,34.57547695,Palmdale,www.cityofpalmdale.org/departments/saves/,1002 E Ave Q12,"FAX (661) 274-2365,  Service/Intake and Administration (661) 267-5191,  TDD (661) 267-5167",0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1
95,People Assisting The Homeless,-118.2890111,34.07748097,Los Angeles,www.epath.org,340 N. Madison Ave.,"Jobs Center at PATH Service/Intake (323) 644-2229, P.A.T.H. Service/Intake (323) 644-2216, West LA Job Center Service/Intake (310) 996-0034 Ext.108, HVRP PATHfinders - Employment Program for Veterans Service/Intake (323) 644-2201, Referral for Homeless Ve",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,4
96,People Assisting The Homeless - Regional Homeless Center,-118.2890108,34.07748052,Los Angeles,,340 N Madison Ave,"Administrative (323) 644-2200, P.A.T.H. Service/Intake (323) 644-2216",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,4
97,People Assisting The Homeless - Hollywood Center,-118.3119321,34.09606497,Hollywood,www.epath.org,5627 Fernwood Ave.,PATH Hollywood Service/Intake (323) 960-3333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,4
98,Year Round Shelter - Covenant House,-118.3094071,34.09541897,Hollywood,www.lahsa.org,1325 N. Western Ave.,Service/Intake and Administration (323) 461-3131,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
99,Covenant House California,-118.3094071,34.09541897,Hollywood,www.covenanthouseca.org,1325 N. Western Ave.,"Service/Intake and Hotline (866) 268-3683, shelter Administrative (323) 461-3131, Outreach Number (9:00am - 12:00 noon and 2:00pm - 5:00pm) Service/Intake (323) 957-7455, The Nineline Hotline/Talkline/Warmline (800) 999-9999,  FAX (323) 461-6491, Daily, 4",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
100,Catholic Charities - Pomona Community Services,-117.720739,34.06144957,Pomona,,1460 E Holt Ave,"Service/Intake (909) 629-1331,  FAX (909) 629-1322",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,3
101,St. Ambrose Episcopal Church,-117.7297491,34.09555507,Claremont,,830 W Bonita Ave,Administrative (909) 626-7170,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,Inland Valley Hope Partners - Claremont Center,-117.7288361,34.10030997,Claremont,www.InlandValleyHopePartners.org,660 N. Mountain Ave.,Service/Intake (909) 621-2400,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
103,Mental Health America Of Los Angeles - Long Beach,-118.1872891,33.77274097,Long Beach,www.village-isa.org,456 Elm Ave.,"FAX (562) 437-5072,  Service/Intake (562) 437-6717",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,NA
104,Christian Outreach In Action,-118.1860481,33.77072097,Long Beach,www.COAlongbeach.org,515 E. 3rd St.,"Service/Intake and Administration (562) 432-1440,  FAX (562) 590-8984",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
105,Volunteers Of America - Greater Los Angeles - West Covina Outreach And Access Center,-117.9451867,34.06970957,West Covina,www.voala.org,1760 W Cameron Ave,"888-50-NEEDS Service/Intake (888) 506-3337,  FAX (626) 918-5040,  Service/Intake (626) 337-9878",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,3
106,Pomona Neighborhood Center,-117.7669651,34.06209997,Pomona,,999 W. Holt Ave.,"FAX (909) 397-9981,  Service/Intake (909) 620-7691",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
107,Los Angeles Youth Network Taft House,-118.3145821,34.10333297,Hollywood,www.layn.org,1754 Taft Ave.,Service/Intake and Administration (323) 467-8466,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
108,My Club Drop In Center,-118.2920441,33.95890797,Los Angeles,,8705 S. Vermont,"Service/Intake (323) 751-2582,  FAX (323) 751-1803",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,8
109,St. Catherine's Episcopal Diocese of Los Angeles,-118.2933641,33.95928097,Los Angeles,St. Catherine's Episcopal Diocese of Los Angeles,1039 W. 87th St. ,"(213) 482 - 2040 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
110,Catholic Charities Of Los Angeles - Our Lady Of The Angels Region - Metro Area - Angel's Flight Runaway And Homeless Youth Services,-118.2726491,34.06094397,Los Angeles,,357 S. Westlake Ave.,"Service/Intake and Administration (213) 413-2311, Shelter / 24 Hour Intake Service/Intake (800) 833-2499",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
111,Womenshelter Of Long Beach,-118.1933001,33.77837497,Long Beach,www.womenshelterlb.com/,930 Pacific Ave.,"Service/Intake and Administration (562) 437-7233,  FAX (562) 436-4943, 562) HER HOME - 24 hrs. Service/Intake and Hotline (562) 437-4663",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,NA
112,House Of Hope,-118.3006131,34.09135697,Los Angeles,www.houseofhopela.com,1115 N. Normandie Ave.,"FAX (323) 663-9452,  Service/Intake (323) 663-1214,  Service/Intake (323) 663-1215",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
113,Gospel Missions Of America,-117.8782731,33.98569897,Rowland Heights,www.gospelmissions.org,1803 Nausika Ave.,Service/Intake (626) 965-8922,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3
114,Peregrinos De Emaus Inc,-117.9040981,34.12968597,Azusa,,447 N. Soldano Ave.,"Leo - Cell Number Service/Intake (626) 388-8424, Shelter Service/Intake (626) 969-5399",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,3
115,Lancaster Community Shelter For The Homeless,-118.1345211,34.69401297,Lancaster,,44611 Yucca Ave.,Service/Intake and Administration (661) 945-7524,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
116,Year Round Shelter - Lancaster Community Shelter,-118.1345211,34.69401297,Lancaster,www.lahsa.org,44611 Yucca Ave.,Service/Intake and Administration (661) 945-7524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
117,Year Round Pick-Up Site - Mental Health Association,-118.1309801,34.67148297,Lancaster,www.lahsa.org,43423 Division St.,Service/Intake (661) 945-7524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
118,Year Round Pick-Up Site - Department Of Mental Health,-118.1229401,34.67017197,Lancaster,www.lahsa.org,349 E. Avenue K-6,Service/Intake (661) 945-7524,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
119,Year Round Pick-Up Site - Catholic Charities Community Center,-118.1929208,33.78410482,Long Beach,www.lahsa.org,123 W 14Th St,"Service/Intake (323) 298-1316, Intake Service/Intake (562) 733-1147",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
120,Catholic Charities Of Los Angeles - San Pedro Region - Long Beach Community Services Center,-118.1916341,33.78417197,Long Beach,www.catholiccharitiesla.org/sanpedro.html,123 E. 14th St.,"Service/Intake and Administration (562) 591-1351,  Administrative (562) 591-1641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
121,Year Round Pick-Up Site - Long Beach Multi-Service Center,-118.2090211,33.78200497,Long Beach,www.lahsa.org,1301 W. 12th St.,Intake Service/Intake (562) 733-1147,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,NA
122,Long Beach Rescue Mission - Lydia House Intake Site,-118.2090208,33.78200525,Long Beach,,1301 W 12Th St,,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,NA
123,Year Round Shelter - Salvation Army,-118.2641751,34.04663497,Los Angeles,www.lahsa.org,832 W. James M. Wood Blvd.,Service/Intake (213) 438-1617,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
124,"Year Round Shelter - Mjb Recovery, Inc.",-118.2737092,33.93373487,Los Angeles,www.lahsa.org,11152 S Main St,Service/Intake (323) 777-2491,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,6
125,Year Round Shelter - Volunteers Of America - Pathway To Home,-118.2761101,34.01278997,Los Angeles,www.lahsa.org,3804 Broadway Pl.,Service/Intake and Administration (323) 231-1711,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,6
126,Friends Helping Friends Sober And Transitional Living Inc,-118.3291641,34.01991297,Los Angeles,www.friendshelpingfriendsla.org,3701 Cherrywood Ave.,"Service/Intake and Administration (323) 293-9778,  FAX (323) 293-7458",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,6
127,Good Shepherd Shelter,-118.3164311,34.04369997,Los Angeles,,2561 W. Venice Blvd.,Service/Intake (323) 737-6111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
128,Lutheran Social Services Of Southern California - San Fernando And Santa Clarita Valley Area Office,-118.4444811,34.18719697,Van Nuys,www.lsssc.org,6425 Tyrone Ave.,"Area Director Service/Intake and Administration (818) 901-9480,  FAX (818) 901-9482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
129,Lutheran Social Services/Central Lutheran Church - Sfv Rescue Mission,-118.4445221,34.18732497,Van Nuys,www.sfvrescuemission.org,6425 Tyrone Blvd.,"Service/Intake and Administration (818) 785-4476, Secondary Telephone Number Information (818) 901-9480",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2
130,Central Lutheran Church - Van Nuys,-118.4444812,34.1871965,Van Nuys,,6425 Tyrone Ave,No Telephone () -,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
131,Su Casa - Ending Domestic Violence,-118.1163491,33.82863997,Long Beach,www.sucasadv.org,3840 Woodruff Ave.,"Administrative (562) 421-6537,  FAX (562) 421-8117, 24-hour Hotline Service/Intake/Hotline (Voice/TDD) (562) 402-4888",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,NA
132,Testimonial Community Love Center,-118.3091311,33.99045897,Los Angeles,,5721 S. Western Ave.,"FAX (323) 292-1512,  Service/Intake and Administration (323) 291-6753",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,6
133,Foothill Unity Center Inc - Monrovia,-118.0081381,34.14283797,Monrovia,www.foothillunitycenter.org,415 W. Chestnut Ave.,"FAX (626) 358-8224,  Service/Intake and Administration (626) 358-3486",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,3
134,Good Shepherd Center For Homeless Women - Hawkes Transitional Residence,-118.2644431,34.06507197,Los Angeles,www.gschomeless.org/,1640 Rockwood St.,"FAX (213) 482-0299,  Service/Intake (213) 482-0281",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
135,Good Shepherd Center For Homeless Women - Languille Residence - Emergency Shelter,-118.2633361,34.06621697,Los Angeles,www.gschomeless.org/,267 N. Belmont Ave.,"Service/Intake and Administration (213) 250-5241,  FAX (213) 250-5073",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
136,First United Methodist Church Of Compton,-118.2068611,33.88752397,Compton,,1025 S. Long Beach Blvd.,Service/Intake (310) 639-0775,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,6
137,San Fernando Valley Rescue Mission,-118.4255981,34.20867597,North Hollywood,www.sfvrescuemission.org,13422 Saticoy St.,"FAX (818) 474-1294, Donations Pick-ups Service/Intake (800) 417-5678, Bob - for space availability Information Only (661) 965-0180,  Service/Intake and Administration (818) 785-4476",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,0,0,2
138,North Hollywood 1St Baptist Church - Sfv Rescue Mission,-118.3749351,34.16285397,North Hollywood,www.sfvrescuemission.org,11210 Otsego St.,"Service/Intake (818) 763-4356,  Service/Intake (818) 980-7370",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2
139,Christian Outreach In Action - Transitional Housing,-118.1960271,33.79264597,Long Beach,www.COAlongbeach.org,1950 Chestnut Ave.,Service/Intake (562) 432-1440,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,NA
140,L A Gay And Lesbian Center - Highland Annex,-118.3384143,34.0932266,Los Angeles,www.lagaycenter.org,1220 N Highland Ave,"Service/Intake (323) 860-2280, LGBTQ Youth Hotline Hotline/Talkline/Warmline (323) 461-8163,  Service/Intake (323) 993-7501",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
141,St. Philomena Church,-118.2767461,33.82885897,Carson,,21900 S. Main St.,"Service/Intake and Administration (310) 835-7161, Contributions or Volunteers Service/Intake (310) 830-5294",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,8
142,Vets On The Move Foundation,-118.2704332,33.83208414,Carson,,357 E Carson St,"Service/Intake and Administration (310) 518-4121, Emergency After Hours (310) 415-4254",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,8
143,East San Gabriel Valley Coalition For The Homeless,-117.9789201,34.01011097,Hacienda Heights,,1345 Turnbull Canyon Rd.,"Service/Intake (626) 333-7204,  FAX (626) 333-7260",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,3
144,Jordan's Disciples Community Service - Root 66,-118.2046971,33.92108497,Lynwood,www.jordansdisciplescommunityservice.org,3669 Louise St.,"Ms. Scott Administrative (310) 876-5390,  Service/Intake (424) 228-0343, Ms. Walston Service/Intake (310) 213-0840, Ms. Scott Service/Intake (310) 213-0203,  Service/Intake (562) 618-1857",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,6
145,Salvation Army Corps Community Center - Huntington Park,-118.2161341,33.98127197,Huntington Park,www1.usw.salvationarmy.org/usw/www_usw_southeastcommunities.nsf,2965 E. Gage Ave.,"Service/Intake (323) 587-4221,  FAX (323) 587-3973",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7
146,Catholic Charities Of Los Angeles - Brownson House,-118.2202181,34.05202197,Los Angeles,www.CatholicCharitiesLA.org,1307 Warren St.,"Regional Office Administrative (323) 266-3130,  Service/Intake (323) 264-8701, Appointments Service/Intake (323) 264-8700",0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,4
147,Tujunga United Methodist Church,-118.2771201,34.24829497,Tujunga,,9901 Tujunga Canyon Blvd.,Service/Intake and Administration (818) 473-4185,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,2
148,Interval House,-118.1082031,33.75517297,Long Beach,www.intervalhouse.org,6615 E. Pacific Coast Highway,"Administrative (562) 594-9492, L A County - 24 hours Service/Intake and Hotline (562) 594-4555",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,NA
149,Mental Health America Of Los Angeles - Antelope Valley Services - Discovery Resource Center,-118.1006711,34.57977097,Palmdale,www.mhala.org,1609 E. Palmdale Blvd.,"FAX (661) 575-1682,  Service/Intake (661) 947-1595",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
150,Center For Human Rights And Constitutional Law - Homeless Youth Project,-118.2799161,34.05404797,Los Angeles,casa-libre.org,845 S. Lake St.,"Administrative (213) 388-8693 Ext.307,  FAX (213) 386-9484,  Service/Intake (213) 637-5814",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
151,Inland Valley Hope Partners - Our House Shelter Administrative Office,-117.7528591,34.07743797,Pomona,www.InlandValleyHopePartners.org,1753 N. Park Ave.,"Housing/Shelter Intake Service/Intake (909) 622-3806 Ext.235, Administrative Office FAX (909) 622-0484",0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
152,Inland Valley Hope Partners - Beta Food Security Site,-117.7533898,34.06442399,Pomona,www.InlandValleyHopePartners.org,290 W Pearl St,Emergency Food Beta Center Service/Intake (909) 622-7278,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3
153,Berean 7Th Day Adventist Church Community Services,-118.3311331,34.03275797,Los Angeles,berean29.adventistchurchconnect.org/index.php,4211 W. Adams Blvd.,"Service/Intake and Administration (323) 735-0228,  FAX (323) 766-7552",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6
154,Church Of The Redeemer,-117.9768351,34.08011697,Baldwin Park,www.cotrbp.org,3739 Monterey Ave.,"FAX (626) 960-9587,  Service/Intake and Administration (626) 960-9585",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,3
155,Filipino American Service Group Inc,-118.2734821,34.06929397,Los Angeles,www.fasgi.org,135 N. Park View St.,"Service/Intake and Administration (213) 487-9804,  FAX (213) 487-9806",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,4
156,Ella's Foundation,-118.2839735,34.02591757,Los Angeles ,Ella's Foundation,3175 S. Hoover St.,"(323) 761 - 6415
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
157,"California Council For Veterans' Affairs, Inc.",-118.3208554,33.97473863,Los Angeles,,2501 W. Florence Ave.,"FAX (323) 750-8034,  Service/Intake (323) 750-9967",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,6
158,Homeless Outreach Program/Integrated Care System (HOPICS),-118.2786631,33.99038297,Los Angeles,Homeless Outreach Program/Integrated Care System (HOPICS),5715 S. Broadway,"Service/Intake (323) 948-0444,  Service/Intake (323) 948-0444,  FAX (323) 948-0443",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,6
159,People Assisting the Homeless (PATH) -  West Los Angeles,-118.4369769,34.03675554,Los Angeles,,2346 Cotner Ave.,"West LA Job Center Service/Intake (310) 996-0034 Ext.108,  Service/Intake and Administration (310) 996-0034",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,5
160,Homeless Health Care Los Angeles,-118.2738303,34.06798245,Los Angeles,Homeless Health Care Los Angeles,2330 Beverly Blvd.,"I and R/Needle Exchange/Drug Treatment/Training Service/Intake and Administration (213) 744-0724, Needle Exchange Service/Intake (213) 617-8408,  FAX (213) 746-2432, CASC/Drug and Mental Health Assessment Service/Intake (213) 342-3114
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,4
161,City Of Refuge Rescue Ministry,-118.2877669,33.96021213,Los Angeles,City Of Refuge Rescue Ministry,823 W. Manchester Blvd.,"Service/Intake and Administration (323) 759-2544,  FAX (323) 759-2856, Case Manager - Mr. Johnson Service/Intake (323) 759-4209, Case Manager - Ms. Brown Service/Intake (323) 756-4229",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,6
162,St. Mark's Evangelical Lutheran Church,-118.2917349,34.02182284,Los Angeles,,3651 S. Vermont Ave.,"FAX (323) 731-6104,  Service/Intake and Administration (323) 731-2157",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,6
163,St. Agnes Catholic Church,-118.291749,34.03195207,Los Angeles,,2625 S. Vermont Ave.,"Service/Intake (323) 731-2464 Ext.107,  FAX (323) 731-6186
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,6
164,Angel Step Inn Domestic Violence Emergency Shelter,-118.0961112,33.98272937,Pico Rivera,,9047 Washington Blvd,"Service/Intake (562) 949-5358,  FAX (323) 255-0012, 24-Hr. Hotline  323-780-HELP Service/Intake and Hotline (323) 780-4357, Shelter Admin. Administrative (323) 780-7285,  FAX (323) 780-7235,  FAX (562) 941-6106, 24-Hr. Hotline Service/Intake and Hotline (",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,7
165,Long Beach Family Shelter For The Homeless,-118.1879831,33.78166197,Long Beach,,Long Beach Family Shelter,"People w/ Disabilities -  Disabled Resources Center Service/Intake (562) 427-1000, Catholic Charities Administration (562) 591-1351, Long Beach Multi-Service Center Service/Intake (562) 733-1147,  Administrative (562) 388-7670",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
166,Free Spirit: For Victims Of Domestic Violence,-118.2641501,34.04296297,Los Angeles,,,"24-Hour All Services Hotline Hotline/Talkline/Warmline (800) 548-2722, Free Spirit Shelter Hotline Hotline/Talkline/Warmline (323) 937-1312, Chicana Service Action Center Administrative (213) 629-5800,  Service/Intake and Administration (323) 937-1368",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
167,Ywca Glendale - Ywca Battered Women's Shelter - Sunrise Village,-118.2359781,34.15570497,Glendale,,,DV hotline (24 hrs.) Service/Intake/Hotline (Voice/TDD) (888) 999-7511,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,NA
168,Domestic Violence Center Of Santa Clarita,-118.5185131,34.38435297,Newhall,,,"661-254-TEEN for Teen Hotline Hotline/Talkline/Warmline (661) 254-8336,  FAX (661) 259-1194,  Service/Intake and Administration (661) 259-8175, 24-Hours Service/Intake and Hotline (661) 259-4357",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,2
169,Zoe Christian Fellowship - Sfv Rescue Mission,-118.5374881,34.20049426,Reseda,,7143 Baird Ave,Administrative (818) 785-4476,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2
170,Chatsworth Foursquare Church - Sfv Rescue Mission,-118.5971322,34.25580711,Chatsworth,,10210 Canoga Ave,Administrative (818) 785-4476,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2
171,Salvation Army Haven Program - Bldg. 212,-118.4535688,34.05508342,Los Angeles,,11301 Wilshire Blvd,"Administration (310) 478-3711 Ext.44353, Senior Program - Tamara Komashko Service/Intake (310) 478-3711 Ext.43014, Alpha Center Program - Vance Poletto Service/Intake (310) 478-3711 Ext.44360, Naomi House Program - Victoria Curtin Service/Intake (310) 478",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,5
172,Salvation Army Haven Program - Bldg. 207,-118.4535688,34.05508342,Los Angeles,,11301 Wilshire Blvd,Exodus Lodge - Mary A. Holmes Service/Intake and Administration (310) 478-3711 Ext.42811,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,5
173,Year Round Shelter - California Hispanic Commission On Alcohol & Drug Abuse Inc.,-118.034254,34.07306526,El Monte,,11046 Vly Mall,Service/Intake (626) 444-9000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,3
174,San Pablo Lutheran Church - North Hollywood,-118.3789675,34.20486399,North Hollywood,,7400 Tujunga Ave,No Telephone () -,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
175,St. David's Episcopal Church - North Hollywood,-118.3848123,34.16503419,North Hollywood,,11605 Magnolia Blvd,No Telephone () -,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2
176,American Philanthropy Association - Don King Shelter,-118.2779666,33.95736055,Los Angeles,,8770 S Broadway,Single Women Only Service/Intake (323) 971-4432,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,6
177,Housing Coalition Education,-118.2934481,34.01348597,Los Angeles,,1051 Laighton Avenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
178,Family Source Center,-118.3086859,33.73837647,Los Angeles,Family Source Center,9219 S. Broadway Avenue,"(323) 777 - 3120
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
179,Housing - Immanuel Housing Inc. Immanuel House of Hope,-118.2401691,33.96076497,Los Angeles ,Immanuel Housing Inc. Immanuel House of Hope,1800 E. 85th Street,"(323) 256 - 6975
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
